# Force coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 8.7964594300e+00
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cs                	Cl                	CmRoll            	CmPitch           	CmYaw             	Cd(f)             	Cd(r)             	Cs(f)             	Cs(r)             	Cl(f)             	Cl(r)             
0.0005            	-5.5251829683e+01	-9.8914803914e-22	-2.1987176940e-01	-1.0588177178e-22	2.1240189360e+01	2.0173005772e-22	-2.7625914842e+01	-2.7625914842e+01	-2.9284396185e-22	-6.9630407729e-22	2.1130253476e+01	-2.1350125245e+01
0.001             	-5.4339853248e-01	2.2978790111e-22	-8.0024875343e-02	1.9834824802e-22	5.7445770842e-01	-4.3870065742e-24	-2.7169926624e-01	-2.7169926624e-01	1.1050694398e-22	1.1928095713e-22	5.3444527075e-01	-6.1447014609e-01
0.0015            	1.0527144170e-01	-5.5475930590e-22	-7.3479648505e-02	-3.1438260725e-22	2.9587618983e-01	-2.0359043270e-24	5.2635720851e-02	5.2635720851e-02	-2.7941555728e-22	-2.7534374862e-22	2.5913636557e-01	-3.3261601408e-01
0.002             	2.9966999401e-01	-1.2061809014e-23	-6.8608719289e-02	1.4137438270e-22	1.9228879307e-01	-3.5810168517e-24	1.4983499700e-01	1.4983499700e-01	-9.6119213589e-24	-2.4498876555e-24	1.5798443343e-01	-2.2659315272e-01
0.0025            	4.5485236863e-01	-1.8076863904e-22	-6.3746662449e-02	-2.3735052223e-22	1.2060765159e-01	5.3371776524e-26	2.2742618431e-01	2.2742618431e-01	-9.0330947742e-23	-9.0437691295e-23	8.8734320370e-02	-1.5248098282e-01
0.003             	5.6538589686e-01	3.9679265603e-22	-5.9123165622e-02	4.1491824669e-22	7.0466558380e-02	1.7936525983e-24	2.8269294843e-01	2.8269294843e-01	2.0018998061e-22	1.9660267542e-22	4.0904975569e-02	-1.0002814119e-01
0.0035            	6.5015705752e-01	2.0207792383e-22	-5.4659539190e-02	-9.0734287787e-24	3.2637522704e-02	3.4283981065e-24	3.2507852876e-01	3.2507852876e-01	1.0446736002e-22	9.7610563811e-23	5.3077531092e-03	-5.9967292299e-02
0.004             	7.1903321707e-01	-3.6269554516e-22	-5.0056854677e-02	-3.8676920771e-22	2.3283160688e-03	-3.9311994153e-24	3.5951660853e-01	3.5951660853e-01	-1.8527897199e-22	-1.7741657316e-22	-2.2700111270e-02	-2.7356743408e-02
0.0045            	7.7627035138e-01	5.4064985134e-22	-4.5589917384e-02	1.3076468874e-22	-2.2499601067e-02	3.0288736914e-23	3.8813517569e-01	3.8813517569e-01	3.0061366259e-22	2.4003618876e-22	-4.5294559760e-02	-2.9535762491e-04
0.005             	8.2507855100e-01	-1.9261771408e-21	-4.1166830575e-02	-9.5319089222e-22	-4.3383988079e-02	-3.7096318125e-23	4.1253927550e-01	4.1253927550e-01	-1.0001848885e-21	-9.2599225227e-22	-6.3967403366e-02	2.2800572791e-02
0.0055            	8.6701798997e-01	-8.1456502368e-22	-3.6795313682e-02	-2.8570997602e-22	-6.1249024802e-02	-2.5773417811e-23	4.3350899498e-01	4.3350899498e-01	-4.3305592965e-22	-3.8150909403e-22	-7.9646681643e-02	4.2851367961e-02
0.006             	9.0479939456e-01	-2.3146217646e-21	-3.2406024815e-02	-5.5628406805e-22	-7.7058482262e-02	-4.3656857242e-23	4.5239969728e-01	4.5239969728e-01	-1.2009677395e-21	-1.1136540251e-21	-9.3261494670e-02	6.0855469855e-02
0.0065            	9.3906363324e-01	4.5751621323e-22	-2.7983016248e-02	-3.9116933123e-22	-9.1245179069e-02	-3.5593633110e-23	4.6953181662e-01	4.6953181662e-01	1.9316447350e-22	2.6435173972e-22	-1.0523668719e-01	7.7253670945e-02
0.007             	9.7062454699e-01	-5.4505005690e-21	-2.3564893463e-02	-1.6108538318e-21	-1.0413414871e-01	-9.2422967684e-23	4.8531227350e-01	4.8531227350e-01	-2.8176732522e-21	-2.6328273168e-21	-1.1591659544e-01	9.2351701981e-02
0.0075            	9.9898041908e-01	9.7471113515e-22	-1.9164818676e-02	5.4296081205e-22	-1.1562959647e-01	2.8236739775e-23	4.9949020954e-01	4.9949020954e-01	5.1559230735e-22	4.5911882780e-22	-1.2521200581e-01	1.0604718713e-01
0.008             	1.0251566487e+00	-2.0383014965e-21	-1.4756441200e-02	-1.2160952233e-21	-1.2614583218e-01	-5.7882370570e-23	5.1257832435e-01	5.1257832435e-01	-1.0770331188e-21	-9.6126837767e-22	-1.3352405278e-01	1.1876761158e-01
0.0085            	1.0494218690e+00	-4.4800851932e-21	-1.0338929091e-02	-1.7748791274e-21	-1.3582846530e-01	-1.0582426349e-22	5.2471093450e-01	5.2471093450e-01	-2.3458668601e-21	-2.1342183331e-21	-1.4099792984e-01	1.3065900075e-01
0.009             	1.0720234545e+00	3.2347342321e-21	-5.9117066403e-03	6.0530058160e-22	-1.4478537982e-01	1.7970479385e-24	5.3601172727e-01	5.3601172727e-01	1.6191641640e-21	1.6155700681e-21	-1.4774123314e-01	1.4182952650e-01
0.0095            	1.0932266155e+00	2.1143777279e-22	-1.4749219814e-03	-1.0231103815e-21	-1.5310880854e-01	-7.3713502534e-23	5.4661330776e-01	5.4661330776e-01	3.2005383859e-23	1.7943238893e-22	-1.5384626953e-01	1.5237134755e-01
0.01              	1.1131438840e+00	2.0888066402e-21	2.9745900426e-03	2.2217128903e-21	-1.6086972154e-01	1.9187627450e-22	5.5657194202e-01	5.5657194202e-01	1.2362795946e-21	8.5252704558e-22	-1.5938242652e-01	1.6235701657e-01
